,,,ner,,,ne0,,,ne1,,,np0,,,ne2,,,np1,,,neg,,,cjo,,,cjm,,,ceo,,,cem,,,cpo,,,cpm,,,cjc,,,cpod1,,,cpod2,,,cpmd,,,iqs,,,iqt,,,
File,Other versions,Notes,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,iQue
z_fcurve_data_skelanime,,,48B00,80059BA0,7F0,048B30,80059BD0,7F0,048B30,80059BD0,7F0,48B30,8005A210,7F0,48B80,8005A260,7F0,48B30,8005A210,7F0,48B80,8005A360,7F0,48970,80059850,810,48970,80059850,810,48950,80059830,810,48950,80059830,810,48920,80059820,810,48920,80059820,810,48950,80059830,810,04F8F0,8006C750,870,04F8F0,8006C750,870,4F8F0,8006C750,870,47760,80060700,810,47910,80060350,810,
z_horse,,,492F0,8005A390,CE0,049320,8005A3C0,CE0,049320,8005A3C0,CE0,49320,8005AA00,CE0,49370,8005AA50,CE0,49320,8005AA00,CE0,49370,8005AB50,CE0,49180,8005A060,CE0,49180,8005A060,CE0,49160,8005A040,CE0,49160,8005A040,CE0,049130,8005A030,CE0,049130,8005A030,CE0,49160,8005A040,CE0,050160,8006CFC0,E70,050160,8006CFC0,E70,50160,8006CFC0,E70,47F70,80060F10,CE0,48120,80060B60,CE0,
z_jpeg,,,49FD0,8005B070,7C0,04A000,8005B0A0,7C0,04A000,8005B0A0,7C0,4A000,8005B6E0,BF0,4A050,8005B730,7C0,4A000,8005B6E0,BF0,4A050,8005B830,7C0,49E60,8005AD40,7C0,49E60,8005AD40,7C0,49E40,8005AD20,7C0,49E40,8005AD20,7C0,049E10,8005AD10,7C0,049E10,8005AD10,7C0,49E40,8005AD20,7C0,050FD0,8006DE30,C00,050FD0,8006DE30,C00,50FD0,8006DE30,C00,48C50,80061BF0,7C0,48E00,80061840,7C0,
z_kaleido_setup,,The last function has extra code on N64 (at least 1.0),4A790,8005B830,430,04A7C0,8005B860,430,04A7C0,8005B860,430,4A7C0,8005BEA0,430,4A810,8005BEF0,430,4A7C0,8005BEA0,430,4A810,8005BFF0,430,4A620,8005B500,3D0,4A620,8005B500,3D0,4A600,8005B4E0,3D0,4A600,8005B4E0,3D0,04A5D0,8005B4D0,3D0,04A5D0,8005B4D0,3D0,4A600,8005B4E0,3D0,051BD0,8006EA30,420,051BD0,8006EA30,420,51BD0,8006EA30,420,49410,800623B0,3D0,495C0,80062000,3D0,
z_kanfont,gcc,,4ABC0,8005BC60,210,04ABF0,8005BC90,210,04ABF0,8005BC90,210,4ABF0,8005C2D0,1D0,4AC40,8005C320,210,4ABF0,8005C2D0,1D0,4AC40,8005C420,210,4A9F0,8005B8D0,210,4A9F0,8005B8D0,210,4A9D0,8005B8B0,210,4A9D0,8005B8B0,210,04A9A0,8005B8A0,1D0,04A9A0,8005B8A0,1D0,4A9D0,8005B8B0,210,051FF0,8006EE50,250,051FF0,8006EE50,250,51FF0,8006EE50,250,497E0,80062780,200,49990,800623D0,200,
z_kankyo,,,4ADD0,8005BE70,7780,04AE00,8005BEA0,7790,04AE00,8005BEA0,7790,4ADC0,8005C4A0,77C0,4AE50,8005C530,77C0,4ADC0,8005C4A0,77C0,4AE50,8005C630,77C0,4AC00,8005BAE0,7810,4AC00,8005BAE0,7810,4ABE0,8005BAC0,7810,4ABE0,8005BAC0,7810,04AB70,8005BA70,7810,04AB70,8005BA70,7810,4ABE0,8005BAC0,7810,052240,8006F0A0,8740,052240,8006F0A0,8740,52240,8006F0A0,8740,499E0,80062980,7810,49B90,800625D0,7810,
z_lib,,,52550,800635F0,11A0,052590,80063630,11A0,052590,80063630,11A0,52580,80063C60,11A0,52610,80063CF0,11A0,52580,80063C60,11A0,52610,80063DF0,11A0,52410,800632F0,11A0,52410,800632F0,11A0,523F0,800632D0,11A0,0523F0,800632D0,11A0,052380,80063280,11A0,052380,80063280,11A0,523F0,800632D0,11A0,05A980,800777E0,1180,05A980,800777E0,1180,5A980,800777E0,1180,511F0,8006A190,11A0,513A0,80069DE0,11A0,
z_lifemeter,,,536F0,80064790,13A0,053730,800647D0,13A0,053730,800647D0,13A0,53720,80064E00,13A0,537B0,80064E90,13A0,53720,80064E00,13A0,537B0,80064F90,13A0,535B0,80064490,13A0,535B0,80064490,13A0,53590,80064470,13A0,53590,80064470,13A0,053520,80064420,13A0,053520,80064420,13A0,53590,80064470,13A0,05BB00,80078960,13D0,05BB00,80078960,13D0,5BB00,80078960,13D0,52390,8006B330,13A0,52540,8006AF80,13A0,
z_lights,,,54A90,80065B30,10A0,054AD0,80065B70,10A0,054AD0,80065B70,10A0,54AC0,800661A0,10A0,54B50,80066230,10A0,54AC0,800661A0,10A0,54B50,80066330,10A0,54950,80065830,10A0,54950,80065830,10A0,54930,80065810,10A0,54930,80065810,10A0,0548C0,800657C0,10A0,0548C0,800657C0,10A0,54930,80065810,10A0,05CED0,80079D30,10E0,05CED0,80079D30,10E0,5CED0,80079D30,10E0,53730,8006C6D0,10A0,538E0,8006C320,10A0,
z_malloc,,,55B30,80066BD0,1E0,055B70,80066C10,1E0,055B70,80066C10,1E0,55B60,80067240,1E0,55BF0,800672D0,1E0,55B60,80067240,1E0,55BF0,800673D0,1E0,559F0,800668D0,1E0,559F0,800668D0,1E0,559D0,800668B0,1E0,559D0,800668B0,1E0,055960,80066860,1E0,055960,80066860,1E0,559D0,800668B0,1E0,05DFB0,8007AE10,480,05DFB0,8007AE10,480,5DFB0,8007AE10,480,547D0,8006D770,1E0,54980,8006D3C0,1E0,
