,,,ner,,,ne0,,,ne1,,,np0,,,ne2,,,np1,,,neg,,,cjo,,,cjm,,,ceo,,,cem,,,cpo,,,cpm,,,cjc,,,cpod1,,,cpod2,,,cpmd,,,iqs,,,iqt,,,
File,Other versions,Notes,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,iQue
pfsinitpak,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,E8100,80104F60,310,E7DB0,80104C10,310,E80E0,80104F40,310,,,,,,,
pfschecker,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,E8410,80105270,9B0,E80C0,80104F20,9B0,E83F0,80105250,9B0,,,,,,,
aigetlen,,,C2030,800D30D0,10,C2240,800D32E0,10,C2400,800D34A0,10,C22C0,800D39A0,10,C2290,800D3970,10,C2300,800D39E0,10,C1C60,800D3440,10,C2D00,800D3BE0,10,C2CE0,800D3BC0,10,C2CE0,800D3BC0,10,C2CC0,800D3BA0,10,C2DA0,800D3CA0,10,0C2D80,800D3C80,10,C2CE0,800D3BC0,10,E8DC0,80105C20,20,E8A70,801058D0,20,E8DA0,80105C00,20,,,,,,,
[PADDING],,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,C2D10,800D3BF0,10,C2CF0,800D3BD0,10,C2CF0,800D3BD0,10,C2CD0,800D3BB0,10,C2DB0,800D3CB0,10,C2D90,800D3C90,10,C2CF0,800D3BD0,10,,,,,,,,,,,,,,,,
translate,,"Handwritten, 4w padding at start",C2040,800D30E0,A0,C2250,800D32F0,A0,C2410,800D34B0,A0,C22D0,800D39B0,A0,C22A0,800D3980,A0,C2310,800D39F0,A0,C1C70,800D3450,A0,C2D20,800D3C00,D0,C2D00,800D3BE0,D0,C2D00,800D3BE0,D0,C2CE0,800D3BC0,D0,C2DC0,800D3CC0,D0,0C2DA0,800D3CA0,D0,C2D00,800D3BE0,D0,E8DE0,80105C40,D0,E8A90,801058F0,D0,E8DC0,80105C20,D0,,,,,,,
contramwrite,,J version?,C20E0,800D3180,250,C22F0,800D3390,250,C24B0,800D3550,250,C2370,800D3A50,250,C2340,800D3A20,250,C23B0,800D3A90,250,-,-,-,C2DF0,800D3CD0,250,C2DD0,800D3CB0,250,C2DD0,800D3CB0,250,C2DB0,800D3C90,250,C2E90,800D3D90,250,0C2E70,800D3D70,250,C2DD0,800D3CB0,250,E8EB0,80105D10,250,E8B60,801059C0,250,E8E90,80105CF0,250,,,,,,,
pfsgetstatus,,J?,C2330,800D33D0,230,C2540,800D35E0,230,C2700,800D37A0,230,C25C0,800D3CA0,230,C2590,800D3C70,230,C2600,800D3CE0,230,-,-,-,C3040,800D3F20,230,C3020,800D3F00,230,C3020,800D3F00,230,C3000,800D3EE0,230,C30E0,800D3FE0,230,0C30C0,800D3FC0,230,C3020,800D3F00,230,-,-,-,-,-,-,-,-,-,,,,,,,
contpfs,,J?,C2560,800D3600,B80,C2770,800D3810,B80,C2930,800D39D0,B80,C27F0,800D3ED0,B80,C27C0,800D3EA0,B80,C2830,800D3F10,B80,-,-,-,C3270,800D4150,B80,C3250,800D4130,B80,C3250,800D4130,B80,C3230,800D4110,B80,C3310,800D4210,B80,0C32F0,800D41F0,B80,C3250,800D4130,B80,-,-,-,-,-,-,-,-,-,,,,,,,
bcmp,,Handwritten,C30E0,800D4180,120,C32F0,800D4390,120,C34B0,800D4550,120,C3370,800D4A50,120,C3340,800D4A20,120,C33B0,800D4A90,120,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
contramread,,J?,C3200,800D42A0,230,C3410,800D44B0,230,C35D0,800D4670,230,C3490,800D4B70,230,C3460,800D4B40,230,C34D0,800D4BB0,230,-,-,-,C3DF0,800D4CD0,230,C3DD0,800D4CB0,230,C3DD0,800D4CB0,230,C3DB0,800D4C90,230,C3E90,800D4D90,230,0C3E70,800D4D70,230,C3DD0,800D4CB0,230,E9100,80105F60,230,E8DB0,80105C10,230,E90E0,80105F40,230,,,,,,,
crc,,,C3430,800D44D0,170,C3640,800D46E0,170,C3800,800D48A0,170,C36C0,800D4DA0,170,C3690,800D4D70,170,C3700,800D4DE0,170,-,-,-,C4020,800D4F00,170,C4000,800D4EE0,170,C4000,800D4EE0,170,C3FE0,800D4EC0,170,C40C0,800D4FC0,170,0C40A0,800D4FA0,170,C4000,800D4EE0,170,E9330,80106190,170,E8FE0,80105E40,170,E9310,80106170,170,,,,,,,
pfsisplug,,,C35A0,800D4640,340,C37B0,800D4850,340,C3970,800D4A10,340,C3830,800D4F10,340,C3800,800D4EE0,340,C3870,800D4F50,340,-,-,-,C4190,800D5070,2F0,C4170,800D5050,2F0,C4170,800D5050,2F0,C4150,800D5030,2F0,C4230,800D5130,2F0,0C4210,800D5110,2F0,C4170,800D5050,2F0,-,-,-,-,-,-,-,-,-,,,,,,,
settimer,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,C4480,800D5360,190,C4460,800D5340,190,C4460,800D5340,190,C4440,800D5320,190,C4520,800D5420,190,0C4500,800D5400,190,C4460,800D5340,190,E94A0,80106300,190,E9150,80105FB0,190,E9480,801062E0,190,,,,,,,
xlitob,,N64,C38E0,800D4980,2A0,C3AF0,800D4B90,2A0,C3CB0,800D4D50,2A0,C3B70,800D5250,2A0,C3B40,800D5220,2A0,C3BB0,800D5290,2A0,C1D10,800D34F0,2A0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
,xldtob,In boot on debug,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,C4610,800D54F0,B10,C45F0,800D54D0,B10,C45F0,800D54D0,B10,C45D0,800D54B0,B10,C46B0,800D55B0,B10,0C4690,800D5590,B10,C45F0,800D54D0,B10,-,-,-,-,-,-,-,-,-,,,,,,,
ldiv,,In boot on debug,C3B80,800D4C20,190,C3D90,800D4E30,190,C3F50,800D4FF0,190,C3E10,800D54F0,190,C3DE0,800D54C0,190,C3E50,800D5530,190,C1FB0,800D3790,190,C5120,800D6000,190,C5100,800D5FE0,190,C5100,800D5FE0,190,C50E0,800D5FC0,190,C51C0,800D60C0,190,0C51A0,800D60A0,190,C5100,800D5FE0,190,-,-,-,-,-,-,-,-,-,,,,,,,
,osViModeFpalLan1,0x50 data only. In boot on debug,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
xldtob,,N64,C3D10,800D4DB0,AC0,C3F20,800D4FC0,AC0,C40E0,800D5180,AC0,C3FA0,800D5680,AC0,C3F70,800D5650,AC0,C3FE0,800D56C0,AC0,C2140,800D3920,AC0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
,xlitob,In boot on debug,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,C52B0,800D6190,2A0,C5290,800D6170,2A0,C5290,800D6170,2A0,C5270,800D6150,2A0,C5350,800D6250,2A0,0C5330,800D6230,2A0,C5290,800D6170,2A0,-,-,-,-,-,-,-,-,-,,,,,,,
spgetstat,,,C47D0,800D5870,10,C49E0,800D5A80,10,C4BA0,800D5C40,10,C4A60,800D6140,10,C4A30,800D6110,10,C4AA0,800D6180,10,C2C00,800D43E0,10,C5550,800D6430,10,C5530,800D6410,10,C5530,800D6410,10,C5510,800D63F0,10,C55F0,800D64F0,10,0C55D0,800D64D0,10,C5530,800D6410,10,E9630,80106490,10,E92E0,80106140,10,E9610,80106470,10,,,,,,,
spsetstat,,,C47E0,800D5880,10,C49F0,800D5A90,10,C4BB0,800D5C50,10,C4A70,800D6150,10,C4A40,800D6120,10,C4AB0,800D6190,10,C2C10,800D43F0,10,C5560,800D6440,10,C5540,800D6420,10,C5540,800D6420,10,C5520,800D6400,10,C5600,800D6500,10,0C55E0,800D64E0,10,C5540,800D6420,10,E9640,801064A0,10,E92F0,80106150,10,E9620,80106480,10,,,,,,,
writebackdcacheall,,,C47F0,800D5890,30,C4A00,800D5AA0,30,C4BC0,800D5C60,30,C4A80,800D6160,30,C4A50,800D6130,30,C4AC0,800D61A0,30,C2C20,800D4400,30,C5570,800D6450,30,C5550,800D6430,30,C5550,800D6430,30,C5530,800D6410,30,C5610,800D6510,30,0C55F0,800D64F0,30,C5550,800D6430,30,E9650,801064B0,30,E9300,80106160,30,E9630,80106490,30,,,,,,,
getcurrfaultedthread,,,C4820,800D58C0,10,C4A30,800D5AD0,10,C4BF0,800D5C90,10,C4AB0,800D6190,10,C4A80,800D6160,10,C4AF0,800D61D0,10,C2C50,800D4430,10,C55A0,800D6480,10,C5580,800D6460,10,C5580,800D6460,10,C5560,800D6440,10,C5640,800D6540,10,0C5620,800D6520,10,C5580,800D6460,10,E9680,801064E0,20,E9330,80106190,20,E9660,801064C0,20,,,,,,,
[PADDING],,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,C55B0,800D6490,10,C5590,800D6470,10,C5590,800D6470,10,C5570,800D6450,10,C5650,800D6550,10,C5630,800D6530,10,C5590,800D6470,10,E9690,,,E9340,,,E9670,,,,,,,,,
mtxf2l,,Handwritten,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,C55C0,800D64A0,70,C55A0,800D6480,70,C55A0,800D6480,70,C5580,800D6460,70,C5660,800D6560,70,0C5640,800D6540,70,C55A0,800D6480,70,E96A0,80106500,70,E9350,801061B0,70,E9680,801064E0,70,,,,,,,
llcvt,,,C4830,800D58D0,210,0C4A40,800D5AE0,210,C4C00,800D5CA0,210,C4AC0,800D61A0,210,C4A90,800D6170,210,C4B00,800D61E0,210,C2C60,800D4440,210,C5630,800D6510,210,C5610,800D64F0,210,C5610,800D64F0,210,0C55F0,800D64D0,210,C56D0,800D65D0,210,0C56B0,800D65B0,210,C5610,800D64F0,210,E9710,80106570,210,E93C0,80106220,210,E96F0,80106550,210,,,,,,,
visetyscale,,ne0/ne1,C4A40,800D5AE0,60,C4C50,800D5CF0,60,C4E10,800D5EB0,60,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
vigetcurrframebuf,,,C4AA0,800D5B40,40,C4CB0,800D5D50,40,C4E70,800D5F10,40,C4CD0,800D63B0,40,C4CA0,800D6380,40,C4D10,800D63F0,40,C2E70,800D4650,40,C5840,800D6720,40,C5820,800D6700,40,C5820,800D6700,40,0C5800,800D66E0,40,C58E0,800D67E0,40,0C58C0,800D67C0,40,C5820,800D6700,40,E9920,80106780,40,E95D0,80106430,40,E9900,80106760,40,,,,,,,
spsetpc,,,C4AE0,800D5B80,40,C4CF0,800D5D90,40,C4EB0,800D5F50,40,C4D10,800D63F0,40,C4CE0,800D63C0,40,C4D50,800D6430,40,C2EB0,800D4690,40,C5880,800D6760,30,C5860,800D6740,30,C5860,800D6740,30,0C5840,800D6720,30,C5920,800D6820,30,0C5900,800D6800,30,C5860,800D6740,30,E9960,801067C0,30,E9610,80106470,30,E9940,801067A0,30,,,,,,,
sqrt,,,C4B20,800D5BC0,10,C4D30,800D5DD0,10,C4EF0,800D5F90,10,C4D50,800D6430,10,C4D20,800D6400,10,C4D90,800D6470,10,C2EF0,800D46D0,10,C58B0,800D6790,10,C5890,800D6770,10,C5890,800D6770,10,C5870,800D6750,10,C5950,800D6850,10,0C5930,800D6830,10,C5890,800D6770,10,E9990,801067F0,10,E9640,801064A0,10,E9970,801067D0,10,,,,,,,
absf,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,C58C0,800D67A0,10,C58A0,800D6780,10,C58A0,800D6780,10,C5880,800D6760,10,C5960,800D6860,10,0C5940,800D6840,10,C58A0,800D6780,10,E99A0,80106800,10,E9650,801064B0,10,E9980,801067E0,10,,,,,,,
fmodf,,not part of libultra,C4B30,800D5BD0,50,C4D40,800D5DE0,50,C4F00,800D5FA0,50,C4D60,800D6440,50,C4D30,800D6410,50,C4DA0,800D6480,50,C2F00,800D46E0,50,C58D0,800D67B0,50,C58B0,800D6790,50,C58B0,800D6790,50,C5890,800D6770,50,C5970,800D6870,50,0C5950,800D6850,50,C58B0,800D6790,50,E99B0,80106810,70,E9660,801064C0,70,E9990,801067F0,70,,,,,,,
__osMemset,,not part of libultra,C4B80,800D5C20,30,C4D90,800D5E30,30,C4F50,800D5FF0,30,C4DB0,800D6490,30,C4D80,800D6460,30,C4DF0,800D64D0,30,C2F50,800D4730,30,C5920,800D6800,30,C5900,800D67E0,30,C5900,800D67E0,30,C58E0,800D67C0,30,C59C0,800D68C0,30,0C59A0,800D68A0,30,C5900,800D67E0,30,E9A20,80106880,50,E96D0,80106530,50,E9A00,80106860,50,,,,,,,
__osMemmove,,not part of libultra,C4BB0,800D5C50,90,C4DC0,800D5E60,90,C4F80,800D6020,90,C4DE0,800D64C0,90,C4DB0,800D6490,90,C4E20,800D6500,90,C2F80,800D4760,90,C5950,800D6830,90,C5930,800D6810,90,C5930,800D6810,90,C5910,800D67F0,90,C59F0,800D68F0,90,0C59D0,800D68D0,90,C5930,800D6810,90,E9A70,801068D0,100,E9720,80106580,100,E9A50,801068B0,100,,,,,,,
,aigetlen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BD720,800D66C0,10,BD8E0,800D6320,10,
,aisetfreq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BD730,800D66D0,100,BD8F0,800D6330,100,
,sl,libaudio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BD830,800D67D0,B0,BD9F0,800D6430,B0,
,synthesizer,libaudio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BD8E0,800D6880,670,BDAA0,800D64E0,670,
,syndelete,libaudio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BDF50,800D6EF0,10,BE110,800D6B50,10,
,synallocfx,libaudio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BDF60,800D6F00,A0,BE120,800D6B60,A0,
,writebackdcacheall,handwritten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE000,800D6FA0,30,BE1C0,800D6C00,30,
,contquery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE030,800D6FD0,B0,BE1F0,800D6C30,B0,
,contreaddata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0BE0E0,800D7080,280,BE2A0,800D6CE0,280,
,controller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0BE360,800D7300,3D0,BE520,800D6F60,3D0,
,contsetch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0BE730,800D76D0,60,BE8F0,800D7330,60,
,sqrtf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0BE790,800D7730,10,BE950,800D7390,10,
,cosf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0BE7A0,800D7740,130,BE960,800D73A0,130,
,coss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0BE8D0,800D7870,20,BEA90,800D74D0,20,
,lookat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0BE8F0,800D7890,330,BEAB0,800D74F0,330,
,lookathil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0BEC20,800D7BC0,8D0,BEDE0,800D7820,8D0,
,ortho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0BF4F0,800D8490,170,BF6B0,800D80F0,170,
,perspective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0BF660,800D8600,200,BF820,800D8260,200,
,position,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0BF860,800D8800,1E0,BFA20,800D8460,1E0,
,sinf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0BFA40,800D89E0,180,BFC00,800D8640,180,
,sins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0BFBC0,800D8B60,50,BFD80,800D87C0,50,
,us2dex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0BFC10,800D8BB0,120,BFDD0,800D8810,120,
,ll,O0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0BFD30,800D8CD0,580,BFEF0,800D8930,270,
,llcvt,O0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0C02B0,800D9250,310,C0160,800D8BA0,1B0,
,string,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0C05C0,800D9560,80,C0310,800D8D50,80,
,xprintf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0C0640,800D95E0,9E0,C0390,800D8DD0,9E0,
,dpgetstat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0C1020,800D9FC0,10,C0D70,800D97B0,10,
,dpsetstat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0C1030,800D9FD0,10,C0D80,800D97C0,10,
,spgetstat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0C1040,800D9FE0,10,C0D90,800D97D0,10,
,spsetstat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0C1050,800D9FF0,10,C0DA0,800D97E0,10,
,sptask,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0C1060,800DA000,210,C0DB0,800D97F0,210,
,sptaskyield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0C1270,800DA210,20,C0FC0,800D9A00,20,
,sptaskyielded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0C1290,800DA230,50,C0FE0,800D9A20,50,
,sirawdma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0C12E0,800DA280,E0,C1030,800D9A70,E0,
,siacs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0C13C0,800DA360,C0,C1110,800D9B50,C0,
,getthreadid,O0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0C1480,800DA420,50,C11D0,800D9C10,20,
,getactivequeue,O0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0C14D0,800DA470,30,C11F0,800D9C30,10,
,settimer,O0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0C1500,800DA4A0,1C0,C1200,800D9C40,130,
,stoptimer,O0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0C16C0,800DA660,120,C1330,800D9D70,C0,
,vigetcurrframebuf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0C17E0,800DA780,40,C13F0,800D9E30,40,
,visetevent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0C1820,800DA7C0,C0,C1430,800D9E70,D0,
,mtxidentf,handwritten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0C18E0,800DA880,60,C1500,800D9F40,60,
,mtxf2l,handwritten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0C1940,800DA8E0,80,C1560,800D9FA0,80,
,scale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0C19C0,800DA960,A0,C15E0,800DA020,A0,
,translate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0C1A60,800DAA00,D0,C1680,800DA0C0,D0,
,rotate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0C1B30,800DAAD0,190,C1750,800DA190,190,
,getcurrfaultthread,O0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0C1CC0,800DAC60,30,C18E0,800DA320,10,
,skapi,handwritten (in boot on iqt),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0C1CF0,800DAC90,250,-,-,-,
,common,1/3 memory functions (only memset in iqt),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0C1F40,800DAEE0,F0,C18F0,800DA330,30,
,motor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0C2030,800DAFD0,10,C1920,800DA360,10,
,afterprenmi,O0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0C2040,800DAFE0,40,C1930,800DA370,20,
,drvrNew,libaudio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0C2080,800DB020,7B0,C1950,800DA390,7B0,
,load,libaudio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0C2830,800DB7D0,A90,C2100,800DAB40,A90,
,auxbus,libaudio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0C32C0,800DC260,110,C2B90,800DB5D0,110,
,env,libaudio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0C33D0,800DC370,B70,C2CA0,800DB6E0,B70,
,filter,libaudio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0C3F40,800DCEE0,20,C3810,800DC250,20,
,mainbus,libaudio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0C3F60,800DCF00,170,C3830,800DC270,170,
,resample,libaudio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0C40D0,800DD070,2A0,C39A0,800DC3E0,2A0,
,reverb,libaudio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0C4370,800DD310,B70,C3C40,800DC680,B70,
,save,libaudio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0C4EE0,800DDE80,E0,C47B0,800DD1F0,E0,
,heapalloc,libaudio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0C4FC0,800DDF60,50,C4890,800DD2D0,50,
,copy,libaudio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0C5010,800DDFB0,30,C48E0,800DD320,30,
,xlitob,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0C5040,800DDFE0,230,C4910,800DD350,230,
,xldtob,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0C5270,800DE210,A00,C4B40,800DD580,A00,
,sp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0C5C70,800DEC10,30,C5540,800DDF80,30,
,spsetpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0C5CA0,800DEC40,30,C5570,800DDFB0,30,
,sprawdma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0C5CD0,800DEC70,90,C55A0,800DDFE0,A0,
[PADDING],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,C5630,800DE070,10,
,normalize,handwritten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0C5D60,800DED00,60,C5640,800DE080,60,
,ldiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0C5DC0,800DED60,1C0,C56A0,800DE0E0,1C0,
,fmodf,-O1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0C5F80,800DEF20,40,C5860,800DE2A0,40,
,__osMemmove,not part of libultra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0C5FC0,800DEF60,90,C58A0,800DE2E0,90,
,absf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0C6050,800DEFF0,10,C5930,800DE370,10,
,sqrt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0C6060,800DF000,10,C5940,800DE380,10,
z_message,,,C4C40,800D5CE0,B7C0,C4E50,800D5EF0,B7C0,C5010,800D60B0,B7C0,-,-,-,C4E40,800D6520,B7E0,-,-,-,C3010,800D47F0,B7E0,C59E0,800D68C0,B6A0,C59C0,800D68A0,B6A0,C59C0,800D68A0,B6A0,C59A0,800D6880,B6A0,-,-,-,-,-,-,C59C0,800D68A0,B6A0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
z_message_PAL,,,-,-,-,-,-,-,-,-,-,C4E70,800D6550,8F50,-,-,-,C4EB0,800D6590,8F50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,C5A80,800D6980,8DC0,0C5A60,800D6960,8DC0,-,-,-,E9B70,801069D0,9AA0,E9820,80106680,9AA0,E9B50,801069B0,9AA0,-,-,-,-,-,-,
