Variables,Type,Notes,ner,,ne0,,ne1,,np0,,ne2,,np1,,neg,,cjo,,cjm,,ceo,,cem,,cpo,,cpod1,,cpod2,,cpm,,cpmd,,cjc,,iqs,,iqt,
,,,VRAM,Size,VRAM,Size,VRAM,Size,VRAM,Size,VRAM,Size,VRAM,Size,VRAM,Size,VRAM,Size,VRAM,Size,VRAM,Size,VRAM,Size,VRAM,Size,VRAM,Size,VRAM,Size,VRAM,Size,VRAM,Size,VRAM,Size,VRAM,Size,VRAM,Size
leoDiskStack,,,,,801E6810,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
__LeoDiskHandle,OSPiHandle,,,,801E5EF0,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
__osDiskHandle,OSPiHandle*,,,,801E5F64,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
__leoResetCalled,,,,,801D8D60,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
__leoQueuesCreated,,,,,801D8D64,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mseq_tbl,u32,static,,,801E67C0,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rd_mseq_code,u32,static,,,801D9AF0,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wt_mseq_code,u32,static,,,801D9B30,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B_801E0D18,struct_801E0D18,,,,801E0D18,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
__osEventStateTab,__OSEventState[16],,,,80009DE0,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gViModeType,u8,,,,80006230,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D_80006234,void*,,,,80006234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
__osRunQueue,OSThread*,,,,80006338,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
__OSGlobalIntMask,OSHWIntr,,,,80006360,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8000A100,,80009BB4,
B_801E0D10,OSMesgQueue*,,,,801E0D10,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
__osRcpImTable,u16[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8000A6C0,,8000A170,
__osThreadSave,OSThread,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80012BE0,,80012680,
__osRunningThread,OSThread*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80009F40,4,800099D0,4
__osRunQueue,OSThread*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80009F38,4,800099C8,4
__osEventStateTab,__OSEventState,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80012F40,78,800129E0,78
__osFaultedThread,OSThread*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80009F44,4,800099D4,4
__osShutdownTime,u32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80009BB0,4
__osShutdown,u32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8000A0FC,4,80009BAC,4
__osIntOffTable,u8[0x20],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8000A670,20,8000A120,20
__osIntTable,void*[9],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8000A690,24,8000A140,24
__osHwIntTable,struct __osHwInt[5],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8000A070,28,80009B00,28
__osPiIntTable,struct __osHwInt[1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8000A098,8,80009B28,8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gSegments,uintptr_t[16],,,,80120C38,0x40,,,8011EC58,0x40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gGameOverTimer,s16,,,,,,,,80111310,,,,80111350,,,,,,,,,,,,,,,,,,,,,,,,,,,
