,,,ner,,,ne0,,,ne1,,,np0,,,ne2,,,np1,,,neg,,,cjo,,,cjm,,,ceo,,,cem,,,cpo,,,cpod1,,,cpod2,,,cpm,,,cpmd,,,cjc,,,iqs,,,iqt,,,
Debug rom,Pal MQ retail,Notes,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,iQue
listalloc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1287F0,80145650,20,,,,,,,,,,
main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F48F0,801057F0,30,128810,80145670,140,,,,,,,,,,
padmgr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F4920,80105820,10,128950,801457B0,590,,,,FA730,801136D0,10,,,,
sched,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128EE0,80145D40,4F0,,,,-,-,-,,,,
speed_meter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1293D0,80146230,A0,,,,-,-,-,,,,
sys_cfb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F4930,80105830,10,129470,801462D0,F0,,,,FA740,801136E0,,,,,
sys_math,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F4940,80105840,10,129560,801463C0,10,,,,,,,,,,
sys_math3d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F4950,80105850,90,129570,801463D0,190,,,,,,,,,,
sys_math_atan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F49E0,801058E0,10,129700,80146560,10,,,,,,,,,,
sys_matrix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F49F0,801058F0,30,129710,80146570,100,,,,,,,,,,
code_800D31A0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129810,80146670,20,,,,,,,,,,
irqmgr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F4A20,80105920,20,129830,80146690,3B0,,,,,,,,,,
debug_malloc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129BE0,80146A40,120,,,,,,,,,,
