name,text size,data size,rodata size,ovl size,bss size
ovl_0090EFF0,0x0,0x50,0x0,0x0,0x0
ovl_0090F060,0x0,0x50,0x0,0x0,0x0
ovl_0090F0D0,0x0,0x50,0x0,0x0,0x0
ovl_0090F140,0x0,0x50,0x0,0x0,0x0
ovl_0090F1B0,0x0,0x50,0x0,0x0,0x0
ovl_0090F220,0x50,0x60,0x0,0x0,0x0
ovl_0090F300,0x0,0x50,0x0,0x0,0x0
ovl_0090F370,0x0,0x50,0x0,0x0,0x0
ovl_0090F3E0,0x0,0x50,0x0,0x0,0x0
ovl_0090F450,0x0,0x50,0x0,0x0,0x0
ovl_0090F4C0,0x0,0x50,0x0,0x0,0x0
ovl_0090F530,0x0,0x50,0x0,0x0,0x0
ovl_0090F5A0,0x0,0x50,0x0,0x0,0x0
ovl_0090F610,0x0,0x50,0x0,0x0,0x0
ovl_0090F680,0x0,0x50,0x0,0x0,0x0
ovl_0090F6F0,0x0,0x50,0x0,0x0,0x0
ovl_0090F760,0x0,0x50,0x0,0x0,0x0
ovl_0090F7D0,0x0,0x50,0x0,0x0,0x0
ovl_0090F840,0x0,0x50,0x0,0x0,0x0
ovl_0090F8B0,0x0,0x50,0x0,0x0,0x0
ovl_0090F920,0x0,0x50,0x0,0x0,0x0
ovl_0090F990,0x0,0x50,0x0,0x0,0x0
ovl_0090FA00,0x0,0x50,0x0,0x0,0x0
ovl_0090FA70,0x0,0x50,0x0,0x0,0x0
ovl_0090FAE0,0x0,0x50,0x0,0x0,0x0
ovl_0090FB50,0x0,0x50,0x0,0x0,0x0
ovl_0090FBC0,0x0,0x50,0x0,0x0,0x0
ovl_0090FC30,0x0,0x50,0x0,0x0,0x0
ovl_0090FCA0,0x0,0x50,0x0,0x0,0x0
ovl_0090FD10,0x0,0x50,0x0,0x0,0x0
ovl_0090FD80,0x0,0x50,0x0,0x0,0x0
ovl_0090FDF0,0x0,0x50,0x0,0x0,0x0
ovl_0090FE60,0x390,0x90,0x0,0x0,0x0
ovl_009102C0,0x80,0x60,0x0,0x0,0x0
ovl_009103D0,0x0,0x50,0x0,0x0,0x0
