File,,Notes,nj0,,,nj1,,,ne0,,,np0,,,np1,,,nek,,,npd,,,ce0,,,cp0,,,cj0,,
,,,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size
contreaddata,,,AED0,8008AF30,1E0,AE30,8008AE90,1E0,9F30,80089F90,1E0,9FA0,8008A000,1E0,A0D0,8008A130,1E0,A490,8008A4F0,1E0,,,,A590,8008A5F0,1E0,,,,,,
voicegetreaddata,,,B0B0,8008B110,3D0,B010,8008B070,3D0,A110,8008A170,3D0,A180,8008A1E0,3D0,A2B0,8008A310,3D0,A670,8008A6D0,3D0,,,,A770,8008A7D0,3D0,,,,,,
virtualtophysical,,,B480,8008B4E0,80,B3E0,8008B440,80,A4E0,8008A540,80,A550,8008A5B0,80,A680,8008A6E0,80,AA40,8008AAA0,80,,,,AB40,8008ABA0,80,,,,,,
getsr,,,B500,8008B560,10,B460,8008B4C0,10,A560,8008A5C0,10,A5D0,8008A630,10,A700,8008A760,10,AAC0,8008AB20,10,,,,ABC0,8008AC20,10,,,,,,
setsr,,,B510,8008B570,10,B470,8008B4D0,10,A570,8008A5D0,10,A5E0,8008A640,10,A710,8008A770,10,AAD0,8008AB30,10,,,,ABD0,8008AC30,10,,,,,,
writebackdcache,,,B520,8008B580,80,B480,8008B4E0,80,A580,8008A5E0,80,A5F0,8008A650,80,A720,8008A780,80,AAE0,8008AB40,80,,,,ABE0,8008AC40,80,,,,,,
initialize,,,B5A0,8008B600,350,B500,8008B560,350,A600,8008A660,350,A670,8008A6D0,350,A7A0,8008A800,350,AB60,8008ABC0,350,,,,AC60,8008ACC0,350,,,,,,
[PADDING],,,B8F0,8008B950,60,B850,8008B8B0,60,A950,8008A9B0,60,A9C0,8008AA20,60,AAF0,8008AB50,60,AEB0,8008AF10,60,,,,AFB0,8008B010,60,,,,,,
vigetnextframebuf,,,B950,8008B9B0,40,B8B0,8008B910,40,A9B0,8008AA10,40,AA20,8008AA80,40,AB50,8008ABB0,40,AF10,8008AF70,40,,,,B010,8008B070,40,,,,,,
perspective,,,B990,8008B9F0,290,B8F0,8008B950,290,A9F0,8008AA50,290,AA60,8008AAC0,290,AB90,8008ABF0,290,AF50,8008AFB0,290,,,,B050,8008B0B0,290,,,,,,
sprawdma,,,BC20,8008BC80,90,BB80,8008BBE0,90,AC80,8008ACE0,90,ACF0,8008AD50,90,AE20,8008AE80,90,B1E0,8008B240,90,,,,B2E0,8008B340,90,,,,,,
sirawdma,,,BCB0,8008BD10,B0,BC10,8008BC70,B0,AD10,8008AD70,B0,AD80,8008ADE0,B0,AEB0,8008AF10,B0,B270,8008B2D0,B0,,,,B370,8008B3D0,B0,,,,,,
epilinkhandle,,,BD60,8008BDC0,50,BCC0,8008BD20,50,ADC0,8008AE20,50,AE30,8008AE90,50,AF60,8008AFC0,50,B320,8008B380,50,,,,B420,8008B480,50,,,,,,
viblack,,,BDB0,8008BE10,70,BD10,8008BD70,70,AE10,8008AE70,70,AE80,8008AEE0,70,AFB0,8008B010,70,B370,8008B3D0,70,,,,B470,8008B4D0,70,,,,,,
sirawread,,,BE20,8008BE80,50,BD80,8008BDE0,50,AE80,8008AEE0,50,AEF0,8008AF50,50,B020,8008B080,50,B3E0,8008B440,50,,,,B4E0,8008B540,50,,,,,,
getthreadid,,,BE70,8008BED0,20,BDD0,8008BE30,20,AED0,8008AF30,20,AF40,8008AFA0,20,B070,8008B0D0,20,B430,8008B490,20,,,,B530,8008B590,20,,,,,,
sptaskyield,,,BE90,8008BEF0,20,BDF0,8008BE50,20,AEF0,8008AF50,20,AF60,8008AFC0,20,B090,8008B0F0,20,B450,8008B4B0,20,,,,B550,8008B5B0,20,,,,,,
pfsreadwritefile,,,BEB0,8008BF10,450,BE10,8008BE70,450,AF10,8008AF70,450,AF80,8008AFE0,450,B0B0,8008B110,450,B470,8008B4D0,450,,,,B570,8008B5D0,450,,,,,,
pfsgetstatus,,,C300,8008C360,230,C260,8008C2C0,230,B360,8008B3C0,230,B3D0,8008B430,230,B500,8008B560,230,B8C0,8008B920,230,,,,B9C0,8008BA20,230,,,,,,
[PADDING],,,C530,8008C590,10,C490,8008C4F0,10,B590,8008B5F0,10,-,-,-,B730,8008B790,10,BAF0,8008BB50,10,,,,BBF0,8008BC50,10,,,,,,
guMtxIdentF,,,C540,8008C5A0,50,C4A0,8008C500,50,B5A0,8008B600,50,B600,8008B660,50,B740,8008B7A0,50,BB00,8008BB60,50,,,,BC00,8008BC60,50,,,,,,
visetmode,,,C590,8008C5F0,60,C4F0,8008C550,60,B5F0,8008B650,60,B650,8008B6B0,60,B790,8008B7F0,60,BB50,8008BBB0,60,,,,BC50,8008BCB0,60,,,,,,
getconfig,,,C5F0,8008C650,10,C550,8008C5B0,10,B650,8008B6B0,10,B6B0,8008B710,10,B7F0,8008B850,10,BBB0,8008BC10,10,,,,BCB0,8008BD10,10,,,,,,
setconfig,,,C600,8008C660,10,C560,8008C5C0,10,B660,8008B6C0,10,B6C0,8008B720,10,B800,8008B860,10,BBC0,8008BC20,10,,,,BCC0,8008BD20,10,,,,,,
lookat,,,C610,8008C670,320,C570,8008C5D0,320,B670,8008B6D0,320,B6D0,8008B730,320,B810,8008B870,320,BBD0,8008BC30,320,,,,BCD0,8008BD30,320,,,,,,
pfsallocatefile,,,C930,8008C990,480,C890,8008C8F0,480,B990,8008B9F0,480,B9F0,8008BA50,480,BB30,8008BB90,480,BEF0,8008BF50,480,,,,BFF0,8008C050,480,,,,,,
stoptimer,,,CDB0,8008CE10,F0,CD10,8008CD70,F0,BE10,8008BE70,F0,BE70,8008BED0,F0,BFB0,8008C010,F0,C370,8008C3D0,F0,,,,C470,8008C4D0,F0,,,,,,
probetlb,,,CEA0,8008CF00,C0,CE00,8008CE60,C0,BF00,8008BF60,C0,BF60,8008BFC0,C0,C0A0,8008C100,C0,C460,8008C4C0,C0,,,,C560,8008C5C0,C0,,,,,,
pimgr,,,CF60,8008CFC0,170,CEC0,8008CF20,170,BFC0,8008C020,170,C020,8008C080,170,C160,8008C1C0,170,C520,8008C580,170,,,,C620,8008C680,170,,,,,,
piacs,,,D0D0,8008D130,C0,D030,8008D090,C0,C130,8008C190,C0,C190,8008C1F0,C0,C2D0,8008C330,C0,C690,8008C6F0,C0,,,,C790,8008C7F0,C0,,,,,,
[PADDING],,,D190,8008D1F0,10,D0F0,8008D150,10,C1F0,8008C250,10,C250,8008C2B0,10,C390,8008C3F0,10,C750,8008C7B0,10,,,,C850,8008C8B0,10,,,,,,
devmgr,,,D1A0,8008D200,410,D100,8008D160,410,C200,8008C260,410,C260,8008C2C0,410,C3A0,8008C400,410,C760,8008C7C0,410,,,,C860,8008C8C0,410,,,,,,
pirawdma,,,D5B0,8008D610,D0,D510,8008D570,D0,C610,8008C670,D0,C670,8008C6D0,D0,C7B0,8008C810,D0,CB70,8008CBD0,D0,,,,CC70,8008CCD0,D0,,,,,,
contpfs,,,D680,8008D6E0,B80,D5E0,8008D640,B80,C6E0,8008C740,B80,C740,8008C7A0,B80,C880,8008C8E0,B80,CC40,8008CCA0,B80,,,,CD40,8008CDA0,B80,,,,,,
getcount,,,E200,8008E260,10,E160,8008E1C0,10,D260,8008D2C0,10,D2C0,8008D320,10,D400,8008D460,10,D7C0,8008D820,10,,,,D8C0,8008D920,10,,,,,,
[PADDING],,,E210,8008E270,10,E170,8008E1D0,10,D270,8008D2D0,10,D2D0,8008D330,10,D410,8008D470,10,D7D0,8008D830,10,,,,D8D0,8008D930,10,,,,,,
guMtxL2F,,,E220,8008E280,70,E180,8008E1E0,70,D280,8008D2E0,70,D2E0,8008D340,70,D420,8008D480,70,D7E0,8008D840,70,,,,D8E0,8008D940,70,,,,,,
getmemsize,,,E290,8008E2F0,120,E1F0,8008E250,120,D2F0,8008D350,120,D350,8008D3B0,120,D490,8008D4F0,120,D850,8008D8B0,120,,,,D950,8008D9B0,120,,,,,,
pfssearchfile,,,E3B0,8008E410,1D0,E310,8008E370,1D0,D410,8008D470,1D0,D470,8008D4D0,1D0,D5B0,8008D610,1D0,D970,8008D9D0,1D0,,,,DA70,8008DAD0,1D0,,,,,,
seteventmesg,,,E580,8008E5E0,C0,E4E0,8008E540,C0,D5E0,8008D640,C0,D640,8008D6A0,C0,D780,8008D7E0,C0,DB40,8008DBA0,C0,,,,DC40,8008DCA0,C0,,,,,,
sqrtf,,,E640,8008E6A0,10,E5A0,8008E600,10,D6A0,8008D700,10,D700,8008D760,10,D840,8008D8A0,10,DC00,8008DC60,10,,,,DD00,8008DD60,10,,,,,,
afterprenmi,,,E650,8008E6B0,20,E5B0,8008E610,20,D6B0,8008D710,20,D710,8008D770,20,D850,8008D8B0,20,DC10,8008DC70,20,,,,DD10,8008DD70,20,,,,,,
contquery,,,E670,8008E6D0,A0,E5D0,8008E630,A0,D6D0,8008D730,A0,D730,8008D790,A0,D870,8008D8D0,A0,DC30,8008DC90,A0,,,,DD30,8008DD90,A0,,,,,,
lookathil,,,E710,8008E770,880,E670,8008E6D0,880,D770,8008D7D0,880,D7D0,8008D830,880,D910,8008D970,880,DCD0,8008DD30,880,,,,DDD0,8008DE30,880,,,,,,
xprintf,,,EF90,8008EFF0,CE0,EEF0,8008EF50,CE0,DFF0,8008E050,CE0,E050,8008E0B0,CE0,E190,8008E1F0,CE0,E550,8008E5B0,CE0,,,,E650,8008E6B0,CE0,,,,,,
voicecleardictionary,,,FC70,8008FCD0,B0,FBD0,8008FC30,B0,ECD0,8008ED30,B0,ED30,8008ED90,B0,EE70,8008EED0,B0,F230,8008F290,B0,,,,F330,8008F390,B0,,,,,,
unmaptlball,,,FD20,8008FD80,50,FC80,8008FCE0,50,ED80,8008EDE0,50,EDE0,8008EE40,50,EF20,8008EF80,50,F2E0,8008F340,50,,,,F3E0,8008F440,50,,,,,,
epidma,,,FD70,8008FDD0,A0,FCD0,8008FD30,A0,EDD0,8008EE30,A0,EE30,8008EE90,A0,EF70,8008EFD0,A0,F330,8008F390,A0,,,,F430,8008F490,A0,,,,,,
voicecontread2,,,FE10,8008FE70,230,FD70,8008FDD0,230,EE70,8008EED0,230,EED0,8008EF30,230,F010,8008F070,230,F3D0,8008F430,230,,,,F4D0,8008F530,230,,,,,,
voicecrc,,,10040,800900A0,A0,FFA0,80090000,A0,F0A0,8008F100,A0,F100,8008F160,A0,F240,8008F2A0,A0,F600,8008F660,A0,,,,F700,8008F760,A0,,,,,,
string,,,100E0,80090140,A0,10040,800900A0,A0,F140,8008F1A0,A0,F1A0,8008F200,A0,F2E0,8008F340,A0,F6A0,8008F700,A0,,,,F7A0,8008F800,A0,,,,,,
createmesgqueue,,,10180,800901E0,30,100E0,80090140,30,F1E0,8008F240,30,F240,8008F2A0,30,F380,8008F3E0,30,F740,8008F7A0,30,,,,F840,8008F8A0,30,,,,,,
invalicache,,,101B0,80090210,80,10110,80090170,80,F210,8008F270,80,F270,8008F2D0,80,F3B0,8008F410,80,F770,8008F7D0,80,,,,F870,8008F8D0,80,,,,,,
invaldcache,,,10230,80090290,B0,10190,800901F0,B0,F290,8008F2F0,B0,F2F0,8008F350,B0,F430,8008F490,B0,F7F0,8008F850,B0,,,,F8F0,8008F950,B0,,,,,,
timerintr,,,102E0,80090340,430,10240,800902A0,430,F340,8008F3A0,430,F3A0,8008F400,430,F4E0,8008F540,430,F8A0,8008F900,430,,,,F9A0,8008FA00,430,,,,,,
voicecontread36,,,10710,80090770,230,10670,800906D0,230,F770,8008F7D0,230,F7D0,8008F830,230,F910,8008F970,230,FCD0,8008FD30,230,,,,FDD0,8008FE30,230,,,,,,
sp,,,10940,800909A0,30,108A0,80090900,30,F9A0,8008FA00,30,FA00,8008FA60,30,FB40,8008FBA0,30,FF00,8008FF60,30,,,,10000,80090060,30,,,,,,
si,,,10970,800909D0,30,108D0,80090930,30,F9D0,8008FA30,30,FA30,8008FA90,30,FB70,8008FBD0,30,FF30,8008FF90,30,,,,10030,80090090,30,,,,,,
guMtxIdent,,,109A0,80090A00,50,10900,80090960,50,FA00,8008FA60,50,FA60,8008FAC0,50,FBA0,8008FC00,50,FF60,8008FFC0,50,,,,10060,800900C0,50,,,,,,
jammesg,,,109F0,80090A50,150,10950,800909B0,150,FA50,8008FAB0,150,FAB0,8008FB10,150,FBF0,8008FC50,150,FFB0,80090010,150,,,,100B0,80090110,150,,,,,,
setthreadpri,,,10B40,80090BA0,E0,10AA0,80090B00,E0,FBA0,8008FC00,E0,FC00,8008FC60,E0,FD40,8008FDA0,E0,10100,80090160,E0,,,,10200,80090260,E0,,,,,,
getthreadpri,,,10C20,80090C80,20,10B80,80090BE0,20,FC80,8008FCE0,20,FCE0,8008FD40,20,FE20,8008FE80,20,101E0,80090240,20,,,,102E0,80090340,20,,,,,,
epirawread,,,10C40,80090CA0,160,10BA0,80090C00,160,FCA0,8008FD00,160,FD00,8008FD60,160,FE40,8008FEA0,160,10200,80090260,160,,,,10300,80090360,160,,,,,,
